24 November 2018 01:44:54 PM

ODE_PRB
  C++ version
  Test the ODE library.

TEST01
  ODE solves a system of ordinary differential
  equations.

      T              v1              w1              v2              w2              v3              w3              v4              w4              v5              w5              v6              w6              v7              w7              v8              w8              v9              w9              v10              w10              
      0.77        0.493496        0.140791        0.493496        0.140791        0.493496        0.140791        0.493496        0.140791        0.493496        0.140791        0.493496        0.140791        0.494264         0.14076         0.50415        0.140283        0.596792        0.134444         1.04343       0.0898601
      0.78        0.511532         0.14124        0.511532         0.14124        0.511532         0.14124        0.511532         0.14124        0.511532         0.14124        0.511532         0.14124        0.512354        0.141207        0.522768        0.140697        0.618653        0.134559         1.06935       0.0886013
      0.79        0.529984        0.141627        0.529984        0.141627        0.529984        0.141627        0.529984        0.141627        0.529984        0.141627        0.529984        0.141627        0.530863        0.141591         0.54182        0.141047         0.64095        0.134601          1.0951       0.0872596
       0.8         0.54885        0.141951         0.54885        0.141951         0.54885        0.141951         0.54885        0.141951         0.54885        0.141951         0.54885        0.141951        0.549788        0.141912        0.561303        0.141332        0.663666        0.134568         1.12078       0.0858359
      0.81        0.568124         0.14221        0.568124         0.14221        0.568124         0.14221        0.568124         0.14221        0.568124         0.14221        0.568124         0.14221        0.569124        0.142169        0.581211        0.141551        0.686784        0.134459         1.14618       0.0843309
      0.82          0.5878        0.142404          0.5878        0.142404          0.5878        0.142404          0.5878        0.142404          0.5878        0.142404          0.5878        0.142404        0.588865        0.142359        0.601537        0.141702        0.710284        0.134272          1.1714       0.0827457
      0.83        0.607871        0.142532        0.607871        0.142532        0.607871        0.142532        0.607871        0.142532        0.607871        0.142532        0.607871        0.142532        0.609004        0.142483        0.622272        0.141784        0.734145        0.134007         1.19611       0.0810817
      0.84        0.628329        0.142591        0.628329        0.142591        0.628329        0.142591        0.628329        0.142591        0.628329        0.142591        0.628329        0.142591        0.629531        0.142539        0.643406        0.141797        0.758341        0.133663         1.22064       0.0793402
      0.85        0.649161        0.142582        0.649161        0.142582        0.649161        0.142582        0.649161        0.142582        0.649161        0.142582        0.649161        0.142582        0.650436        0.142526        0.664926        0.141738        0.782846        0.133238         1.24468       0.0775225
      0.86        0.670358        0.142503        0.670358        0.142503        0.670358        0.142503        0.670358        0.142503        0.670358        0.142503        0.670358        0.142503        0.671708        0.142442        0.686819        0.141608        0.807631        0.132733         1.26836       0.0756303
      0.87        0.691903        0.142353        0.691903        0.142353        0.691903        0.142353        0.691903        0.142353        0.691903        0.142353        0.691903        0.142353        0.693331        0.142288        0.709068        0.141404        0.832663        0.132146         1.29138       0.0736652
      0.88        0.713783         0.14213        0.713783         0.14213        0.713783         0.14213        0.713783         0.14213        0.713783         0.14213        0.713783         0.14213         0.71529        0.142061        0.731656        0.141126        0.857909        0.131477         1.31407       0.0716294
      0.89        0.735979        0.141836        0.735979        0.141836        0.735979        0.141836        0.735979        0.141836        0.735979        0.141836        0.735979        0.141836        0.737567        0.141761        0.754562        0.140773        0.883333        0.130725          1.3361       0.0695246
       0.9        0.758472        0.141467        0.758472        0.141467        0.758472        0.141467        0.758472        0.141467        0.758472        0.141467        0.758472        0.141467        0.760144        0.141387        0.777764        0.140345        0.908897        0.129891         1.35763       0.0673529
      0.91        0.781241        0.141024        0.781241        0.141024        0.781241        0.141024        0.781241        0.141024        0.781241        0.141024        0.781241        0.141024        0.782998        0.140939        0.801239        0.139839         0.93456        0.128973         1.37849       0.0651163
      0.92        0.804263        0.140507        0.804263        0.140507        0.804263        0.140507        0.804263        0.140507        0.804263        0.140507        0.804263        0.140507        0.806107        0.140416         0.82496        0.139257        0.960282        0.127972         1.39871       0.0628174
      0.93        0.827514        0.139913        0.827514        0.139913        0.827514        0.139913        0.827514        0.139913        0.827514        0.139913        0.827514        0.139913        0.829445        0.139816        0.848899        0.138597         0.98602        0.126889         1.41826       0.0604582
      0.94        0.850967        0.139244        0.850967        0.139244        0.850967        0.139244        0.850967        0.139244        0.850967        0.139244        0.850967        0.139244        0.852985         0.13914        0.873026        0.137858         1.01173        0.125722         1.43725       0.0580412
      0.95        0.874593        0.138497        0.874593        0.138497        0.874593        0.138497        0.874593        0.138497        0.874593        0.138497        0.874593        0.138497          0.8767        0.138387        0.897309        0.137041         1.03736        0.124473         1.45549       0.0555687
      0.96        0.898362        0.137674        0.898362        0.137674        0.898362        0.137674        0.898362        0.137674        0.898362        0.137674        0.898362        0.137674        0.900557        0.137557        0.921715        0.136145         1.06288        0.123143         1.47303       0.0530432
      0.97        0.922243        0.136774        0.922243        0.136774        0.922243        0.136774        0.922243        0.136774        0.922243        0.136774        0.922243        0.136774        0.924527         0.13665        0.946208         0.13517         1.08823        0.121731         1.48986       0.0504672
