18 November 2018 01:50:17 PM

ODE_PRB
  C++ version
  Test the ODE library.

TEST01
  ODE solves a system of ordinary differential
  equations.

      T              v1              w1              v2              w2              v3              w3              v4              w4              v5              w5              v6              w6              v7              w7              v8              w8              v9              w9              v10              w10              
      0.87        -1.77197        0.481393       -0.119433        0.202646        0.593276        0.148052        0.683694        0.142744        0.691377        0.142374        0.691876        0.142354        0.691902        0.142353        0.691903        0.142353        0.691903        0.142353        0.691903        0.142353
      0.88        -1.77233        0.488507       -0.122528        0.205006        0.611149         0.14815        0.705144        0.142549        0.713222        0.142154        0.713753        0.142132        0.713781        0.142131        0.713783         0.14213        0.713783         0.14213        0.713783         0.14213
      0.89        -1.77246        0.495603       -0.125633        0.207369        0.629291        0.148187          0.7269        0.142282        0.735382        0.141861        0.735947        0.141837        0.735977        0.141836        0.735979        0.141836        0.735979        0.141836        0.735979        0.141836
       0.9        -1.77238         0.50268       -0.128749        0.209737        0.647691        0.148164        0.748945        0.141944        0.757839        0.141494        0.758438        0.141469         0.75847        0.141467        0.758472        0.141467        0.758472        0.141467        0.758472        0.141467
      0.91         -1.7721        0.509738       -0.131875        0.212109         0.66634        0.148079        0.771258        0.141532         0.78057        0.141054        0.781204        0.141026        0.781239        0.141025        0.781241        0.141024        0.781241        0.141024        0.781241        0.141024
      0.92        -1.77163        0.516775        -0.13501        0.214485        0.685223        0.147932        0.793818        0.141047        0.803553        0.140538        0.804224        0.140508        0.804262        0.140507        0.804263        0.140507        0.804263        0.140507        0.804263        0.140507
      0.93        -1.77098        0.523792       -0.138153        0.216865        0.704328        0.147722        0.816601        0.140487        0.826764        0.139947        0.827472        0.139915        0.827512        0.139913        0.827514        0.139913        0.827514        0.139913        0.827514        0.139913
      0.94        -1.77017        0.530788       -0.141305         0.21925        0.723641        0.147448        0.839583        0.139853        0.850175         0.13928        0.850922        0.139245        0.850964        0.139244        0.850966        0.139244        0.850967        0.139244        0.850967        0.139244
      0.95        -1.76921        0.537762       -0.144463        0.221638        0.743145        0.147111        0.862736        0.139144        0.873759        0.138536        0.874545        0.138499         0.87459        0.138497        0.874592        0.138497        0.874593        0.138497        0.874593        0.138497
      0.96        -1.76811        0.544714       -0.147629        0.224031        0.762824        0.146709        0.886032         0.13836        0.897486        0.137716        0.898311        0.137676        0.898359        0.137674        0.898362        0.137674        0.898362        0.137674        0.898362        0.137674
      0.97        -1.76687        0.551644       -0.150802        0.226427         0.78266        0.146243        0.909442        0.137499        0.921325        0.136818         0.92219        0.136776        0.922241        0.136774        0.922243        0.136774        0.922243        0.136774        0.922243        0.136774
      0.98         -1.7655        0.558551        -0.15398        0.228828        0.802635        0.145711        0.932935        0.136563        0.945242        0.135844        0.946147        0.135799        0.946201        0.135796        0.946204        0.135796        0.946204        0.135796        0.946204        0.135796
      0.99        -1.76403        0.565435       -0.157164        0.231234        0.822727        0.145115        0.956478        0.135551        0.969204        0.134792        0.970149        0.134744        0.970206        0.134742        0.970209        0.134742        0.970209        0.134742        0.970209        0.134742
         1        -1.76244        0.572296       -0.160353        0.233643        0.842917        0.144453        0.980038        0.134464        0.993175        0.133664         0.99416        0.133613         0.99422         0.13361        0.994224         0.13361        0.994224         0.13361        0.994224         0.13361
      1.01        -1.76075        0.579133       -0.163546        0.236056        0.863182        0.143725         1.00358        0.133301         1.01712        0.132458         1.01814        0.132404         1.01821        0.132401         1.01821        0.132401         1.01821        0.132401         1.01821        0.132401
      1.02        -1.75896        0.585945       -0.166743        0.238474        0.883499        0.142932         1.02707        0.132063           1.041        0.131176         1.04207        0.131119         1.04213        0.131116         1.04214        0.131116         1.04214        0.131116         1.04214        0.131116
      1.03        -1.75709        0.592734       -0.169944        0.240896        0.903846        0.142073         1.05047         0.13075         1.06478        0.129819         1.06588        0.129758         1.06595        0.129754         1.06596        0.129754         1.06596        0.129754         1.06596        0.129754
      1.04        -1.75513        0.599498       -0.173149        0.243322        0.924198        0.141148         1.07375        0.129362         1.08842        0.128386         1.08956        0.128321         1.08964        0.128318         1.08964        0.128318         1.08964        0.128317         1.08964        0.128317
      1.05        -1.75309        0.606237       -0.176356        0.245753        0.944531        0.140159         1.09688        0.127901         1.11189        0.126878         1.11307         0.12681         1.11314        0.126806         1.11315        0.126806         1.11315        0.126806         1.11315        0.126806
      1.06        -1.75099        0.612952       -0.179565        0.248187        0.964819        0.139104          1.1198        0.126368         1.13514        0.125297         1.13636        0.125225         1.13644        0.125221         1.13644        0.125221         1.13644        0.125221         1.13644        0.125221
      1.07        -1.74881        0.619641       -0.182777        0.250626        0.985036        0.137985          1.1425        0.124762         1.15815        0.123643         1.15939        0.123567         1.15948        0.123562         1.15948        0.123562         1.15948        0.123562         1.15948        0.123562
      1.08        -1.74657        0.626306        -0.18599        0.253069         1.00516        0.136801         1.16493        0.123086         1.18086        0.121917         1.18215        0.121837         1.18223        0.121832         1.18223        0.121832         1.18223        0.121832         1.18223        0.121832
      1.09        -1.74427        0.632945       -0.189204        0.255516         1.02516        0.135554         1.18707         0.12134         1.20326         0.12012         1.20457        0.120036         1.20466        0.120032         1.20467        0.120031         1.20467        0.120031         1.20467        0.120031
       1.1        -1.74191        0.639558       -0.192419        0.257968         1.04501        0.134244         1.20888        0.119526          1.2253        0.118255         1.22665        0.118167         1.22674        0.118161         1.22674        0.118161         1.22674        0.118161         1.22674        0.118161
      1.11         -1.7395        0.646147       -0.195634        0.260423         1.06469        0.132872         1.23032        0.117644         1.24696        0.116321         1.24833        0.116229         1.24842        0.116224         1.24843        0.116223         1.24843        0.116223         1.24843        0.116223
      1.12        -1.73704        0.652709       -0.198849        0.262883         1.08417        0.131438         1.25137        0.115697          1.2682        0.114322         1.26959        0.114225         1.26969        0.114219         1.26969        0.114219         1.26969        0.114219         1.26969        0.114219
      1.13        -1.73454        0.659246       -0.202063        0.265347         1.10343        0.129943         1.27201        0.113685         1.28899        0.112258         1.29041        0.112156         1.29051         0.11215         1.29051         0.11215         1.29051         0.11215         1.29051         0.11215
      1.14        -1.73199        0.665757       -0.205277        0.267815         1.12245        0.128389          1.2922        0.111611         1.30932         0.11013         1.31075        0.110025         1.31085        0.110018         1.31086        0.110018         1.31086        0.110018         1.31086        0.110018
      1.15         -1.7294        0.672242       -0.208489        0.270287         1.14119        0.126776         1.31193        0.109476         1.32915        0.107942          1.3306        0.107832          1.3307        0.107825         1.33071        0.107825         1.33071        0.107825         1.33071        0.107825
      1.16        -1.72677        0.678701       -0.211699        0.272763         1.15964        0.125105         1.33116        0.107281         1.34846        0.105694         1.34993         0.10558         1.35003        0.105573         1.35004        0.105572         1.35004        0.105572         1.35004        0.105572
      1.17        -1.72411        0.685134       -0.214908        0.275244         1.17778        0.123378         1.34989         0.10503         1.36723        0.103389         1.36872         0.10327         1.36882        0.103263         1.36883        0.103262         1.36883        0.103262         1.36883        0.103262
