18 November 2018 01:39:16 PM

ODE_PRB
  C++ version
  Test the ODE library.

TEST01
  ODE solves a system of ordinary differential
  equations.

      T              v1              w1              v2              w2              v3              w3              v4              w4              v5              w5              v6              w6              v7              w7              v8              w8              v9              w9              v10              w10              
      0.78        -1.61206        0.398731          1.0377        0.102672        0.442948        0.144756        0.516931        0.141016        0.511213        0.141251        0.511517         0.14124        0.511598        0.141237        0.512654        0.141194        0.527781        0.140502        0.693288        0.131177
      0.79        -1.61476        0.405537         1.06767         0.10139        0.458116        0.145367        0.535735        0.141385        0.529639        0.141639        0.529968        0.141627        0.530056        0.141624        0.531187        0.141577        0.547195        0.140835        0.718443        0.130974
       0.8        -1.61703        0.412333         1.09753        0.100013        0.473628        0.145926        0.554966         0.14169        0.548477        0.141964        0.548832        0.141951        0.548928        0.141948        0.550137        0.141897        0.567054        0.141102        0.744026        0.130687
      0.81        -1.61888        0.419118         1.12723       0.0985405        0.489486        0.146431        0.574621        0.141929        0.567722        0.142225        0.568105        0.142211        0.568208        0.142207          0.5695        0.142153        0.587352        0.141302        0.770123        0.130315
      0.82        -1.62035         0.42589         1.15671       0.0969731        0.505691        0.146882        0.594693        0.142102        0.587368         0.14242        0.587779        0.142405        0.587891        0.142401         0.58927        0.142342        0.608079        0.141432        0.796355        0.129857
      0.83        -1.62144        0.432648          1.1859       0.0953123        0.522244        0.147276        0.615173        0.142207        0.607407        0.142549        0.607849        0.142532        0.607969        0.142528        0.609438        0.142465        0.629226        0.141493        0.822752        0.129313
      0.84        -1.62219        0.439392         1.21474       0.0935593        0.539144        0.147614        0.636053        0.142242        0.627831         0.14261        0.628304        0.142592        0.628434        0.142587        0.629998        0.142519        0.650783        0.141483         0.84943        0.128681
      0.85        -1.62261        0.446119         1.24318       0.0917156        0.556391        0.147894        0.657322        0.142207        0.648628        0.142603        0.649135        0.142583        0.649274        0.142577        0.650936        0.142504        0.672734          0.1414        0.876415        0.127962
      0.86        -1.62271         0.45283         1.27116       0.0897829        0.573984        0.148116        0.678966        0.142101        0.669787        0.142525        0.670329        0.142504        0.670479        0.142498        0.672242        0.142419        0.695065        0.141243         0.90337        0.127156
      0.87        -1.62253        0.459522         1.29863        0.087763        0.591919        0.148278         0.70097        0.141923        0.691294        0.142377        0.691872        0.142354        0.692033        0.142347        0.693902        0.142263        0.717758        0.141012        0.930431        0.126261
      0.88        -1.62207        0.466195         1.32554       0.0856579        0.610194        0.148379        0.723319        0.141671        0.713133        0.142157        0.713749        0.142132        0.713921        0.142125        0.715899        0.142034        0.740793        0.140706        0.957429        0.125279
      0.89        -1.62134        0.472849         1.35184       0.0834699        0.628805        0.148418        0.745992        0.141345        0.735287        0.141864        0.735942        0.141837        0.736126         0.14183        0.738216        0.141732        0.764148        0.140323        0.984511        0.124209
       0.9        -1.62038        0.479482         1.37749       0.0812013        0.647745        0.148395        0.768971        0.140943        0.757736        0.141498        0.758433        0.141469        0.758629        0.141461        0.760833        0.141356          0.7878        0.139863         1.01153        0.123052
      0.91        -1.61919        0.486094         1.40245       0.0788544        0.667009        0.148308        0.792231        0.140466        0.780461        0.141058        0.781199        0.141026        0.781409        0.141017        0.783729        0.140906        0.811721        0.139325         1.03849        0.121808
      0.92        -1.61778        0.492684         1.42669       0.0764319        0.686589        0.148157        0.815748        0.139912        0.803437        0.140543        0.804218        0.140508        0.804442        0.140499        0.806881         0.14038        0.835884        0.138708         1.06529        0.120478
      0.93        -1.61617        0.499251         1.45018       0.0739364        0.706475         0.14794        0.839497        0.139281         0.82664        0.139952        0.827466        0.139915        0.827703        0.139905        0.830263        0.139778        0.860258        0.138012         1.09185        0.119063
      0.94        -1.61438        0.505796         1.47288       0.0713706        0.726658        0.147658        0.863447        0.138573        0.850044        0.139285        0.850915        0.139246        0.851167        0.139235        0.853848        0.139099        0.884811        0.137237          1.1181        0.117564
      0.95        -1.61241        0.512316         1.49479       0.0687375        0.747124        0.147308        0.887569        0.137786        0.873621        0.138542        0.874538        0.138499        0.874804        0.138488        0.877607        0.138343        0.909508        0.136381         1.14411        0.115982
      0.96        -1.61028        0.518813         1.51589       0.0660397        0.767861        0.146891        0.911831        0.136921         0.89734        0.137722        0.898304        0.137677        0.898585        0.137664        0.901511         0.13751        0.934312        0.135446         1.16963        0.114318
      0.97          -1.608        0.525284         1.53616       0.0632803        0.788854        0.146405        0.936198        0.135977        0.921171        0.136825        0.922182        0.136776        0.922479        0.136763        0.925526          0.1366        0.959187         0.13443         1.19481        0.112574
      0.98        -1.60558        0.531731         1.55561       0.0604621        0.810085        0.145851        0.960636        0.134954        0.945081        0.135851        0.946138        0.135799        0.946451        0.135785         0.94962        0.135612        0.984093        0.133334         1.21959        0.110752
      0.99        -1.60302        0.538152         1.57422       0.0575881        0.831537        0.145227        0.985107        0.133853        0.969035          0.1348         0.97014        0.134745        0.970469        0.134729        0.973757        0.134546         1.00899        0.132159         1.24392        0.108853
         1        -1.60034        0.544548           1.592       0.0546612        0.853191        0.144533         1.00957        0.132673        0.992998        0.133672        0.994151        0.133613        0.994496        0.133596        0.997901        0.133402         1.03384        0.130903         1.26759        0.106878
      1.01        -1.59755        0.550917         1.60896       0.0516842        0.875023        0.143768           1.034        0.131415         1.01694        0.132467         1.01813        0.132404          1.0185        0.132387         1.02201        0.132182         1.05859        0.129568         1.29083        0.104831
      1.02        -1.59466         0.55726          1.6251       0.0486601        0.897012        0.142932         1.05834        0.130079         1.04081        0.131186         1.04205        0.131119         1.04243          0.1311         1.04606        0.130884         1.08321        0.128155         1.31343        0.102714
      1.03        -1.59167        0.563576         1.64044       0.0455916        0.919134        0.142025         1.08255        0.128666         1.06458        0.129829         1.06587        0.129758         1.06627        0.129738            1.07         0.12951         1.10765        0.126664         1.33542        0.100528
      1.04        -1.58859        0.569865           1.655       0.0424815        0.941361        0.141047         1.10661        0.127176         1.08822        0.128397         1.08955        0.128322         1.08996          0.1283          1.0938         0.12806         1.13188        0.125095         1.35657       0.0982751
      1.05        -1.58542        0.576127         1.66879       0.0393326        0.963667        0.139997         1.13046         0.12561         1.11168         0.12689         1.11306         0.12681         1.11348        0.126788         1.11741        0.126535         1.15584        0.123451         1.37721       0.0959589
      1.06        -1.58218        0.582362         1.68183       0.0361474        0.986023        0.138876         1.15407         0.12397         1.13492        0.125309         1.13634        0.125225         1.13679        0.125201         1.14081        0.124936          1.1795        0.121732         1.39714       0.0935814
      1.07        -1.57887        0.588569         1.69415       0.0329284          1.0084        0.137683          1.1774        0.122256         1.15792        0.123655         1.15938        0.123567         1.15984        0.123542         1.16394        0.123264         1.20282        0.119939         1.41633       0.0911451
      1.08        -1.57549        0.594748         1.70576       0.0296783         1.03077        0.136419         1.20041        0.120469         1.18063         0.12193         1.18213        0.121838          1.1826         0.12181         1.18678         0.12152         1.22576        0.118074         1.43482       0.0886524
      1.09        -1.57206          0.6009         1.71669       0.0263992         1.05309        0.135084         1.22306        0.118611         1.20303        0.120135         1.20456        0.120037         1.20504        0.120008         1.20929        0.119705         1.24829        0.116138          1.4528       0.0861061
       1.1        -1.56856        0.607024         1.72697       0.0230936         1.07534        0.133678         1.24532        0.116683         1.22507         0.11827         1.22663        0.118167         1.22713        0.118137         1.23143         0.11782         1.27036        0.114133         1.46978       0.0835086
      1.11        -1.56502         0.61312         1.73662       0.0197637         1.09749        0.132202         1.26716        0.114687         1.24672        0.116337         1.24831         0.11623         1.24882        0.116198         1.25318        0.115867         1.29196        0.112061         1.48602       0.0808625
      1.12        -1.56143        0.619187         1.74566       0.0164115         1.11949        0.130657         1.28854        0.112624         1.26796        0.114338         1.26958        0.114226          1.2701        0.114192          1.2745        0.113848         1.31305        0.109923         1.50151       0.0781704
      1.13         -1.5578        0.625227         1.75413        0.013039         1.14132        0.129042         1.30944        0.110497         1.28875        0.112275         1.29039        0.112157         1.29093        0.112122         1.29536        0.111764         1.33359        0.107722         1.51644       0.0754349
      1.14        -1.55412        0.631238         1.76205      0.00964832         1.16295         0.12736         1.32982        0.108306         1.30907        0.110149         1.31074        0.110026         1.31128        0.109989         1.31573        0.109617         1.35358        0.105459         1.53063       0.0726585
      1.15        -1.55041        0.637221         1.76945      0.00624115         1.18434         0.12561         1.34968        0.106054          1.3289        0.107961         1.33058        0.107833         1.33114        0.107794          1.3356        0.107408         1.37299        0.103136         1.54388       0.0698436
      1.16        -1.54667        0.643176         1.77634      0.00281928         1.20547        0.123795         1.36897        0.103743         1.34821        0.105714         1.34991        0.105581         1.35047         0.10554         1.35494         0.10514         1.39179        0.100756          1.5566       0.0669927
      1.17         -1.5429        0.649102         1.78276    -0.000615641         1.22629        0.121914         1.38769        0.101375         1.36699         0.10341          1.3687        0.103271         1.36927        0.103229         1.37373        0.102815         1.40998       0.0983207         1.56866       0.0641083
      1.18        -1.53909           0.655         1.78873     -0.00406203         1.24679         0.11997         1.40582        0.098952         1.38521         0.10105         1.38693        0.100906         1.38751        0.100862         1.39196        0.100435         1.42755       0.0958324         1.58004       0.0611925
